event_count,unique_messages,distinct_hosts,distinct_processes,avg_msg_length,failed_auth_count,invalid_user_count,entropy_tokens,isolation_forest_label,isolation_forest_score,one_class_svm_label,one_class_svm_score,dbscan_label,dbscan_score,ensemble_anomaly
3,2,1,1,63.333333333333336,0,0,4.087462841250339,1,0.16526510510918452,1,0.5568121223366793,-1,-1,1
10,1,1,1,115.0,0,0,4.20184123230257,1,0.11395331736095327,-1,-0.13400097937883526,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
20,2,1,1,53.5,0,0,4.142664355548848,1,0.19215516648264147,1,0.49639651699808507,-1,-1,1
4,2,1,1,53.5,0,0,4.142664355548848,1,0.1603688407211536,1,0.5047480706306917,-1,-1,1
20,2,1,1,60.0,0,0,4.058813890331201,1,0.2083240115191493,1,0.5809717218812116,-1,-1,1
10,2,1,1,63.5,0,0,4.3685225277282065,1,0.15316445903438874,1,0.6933936676802048,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
6,1,1,1,91.0,0,0,3.916126946588284,1,0.16870989214676346,1,0.5585443829905481,-1,-1,1
2,2,1,1,91.0,0,0,3.963745994207332,1,0.1143534794187484,1,0.4461941007115513,-1,-1,1
1,1,1,1,98.0,0,0,3.9698157824268097,1,0.20008436926176276,1,0.29265420808027187,-1,-1,1
1,1,1,1,41.0,0,0,3.0,1,0.11830323085190564,1,0.2048309836412674,-1,-1,1
1,1,1,1,28.0,0,0,2.321928094887362,-1,-0.01197116887955818,-1,-0.22623151844792222,-1,-1,1
7,2,1,1,104.0,0,0,4.35838101251739,1,0.07237687006325344,1,0.2878464197111903,-1,-1,1
20,2,1,1,68.0,0,0,4.501629167387822,1,0.11389317346507344,1,0.6394753306561478,-1,-1,1
15,3,1,1,104.0,0,0,4.384089113783056,1,0.04895787586881695,1,0.30937959452993535,-1,-1,1
1,1,1,1,68.0,0,0,3.906890595608519,1,0.16208649411602505,1,0.5061209456318512,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
12,1,1,1,60.0,0,0,3.807354922057604,1,0.19299720882070742,1,0.6778926964399927,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
1,1,1,1,43.0,0,0,3.169925001442312,1,0.10129116084428624,1,0.25012223540278633,-1,-1,1
20,2,1,1,54.5,0,0,4.142664355548848,1,0.1948696003579159,1,0.5117049503643516,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
6,1,1,1,97.0,0,0,3.9698157824268097,1,0.22377749902060207,1,0.45483581051793465,-1,-1,1
12,1,1,1,111.0,0,0,3.875,1,0.13268335218791943,1,0.05955688332064568,-1,-1,1
11,1,1,1,111.0,0,0,3.875,1,0.13998578537395123,1,0.05919204130022582,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
20,2,1,1,66.5,0,0,4.349648912578752,1,0.16311005020662256,1,0.6321711649215036,-1,-1,1
23,3,1,1,62.0,0,0,3.8786139786216376,1,0.1700843877698937,1,0.5100748471445193,-1,-1,1
10,1,1,1,99.0,0,0,3.9698157824268097,1,0.2307435078359582,1,0.46490813023365174,-1,-1,1
2,2,1,1,54.5,0,0,4.142664355548848,1,0.16677503537819327,1,0.4585334889322281,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
9,1,1,1,94.0,0,0,3.9698157824268097,1,0.21196103856099396,1,0.5610357889849258,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
13,2,1,1,60.0,0,0,3.784549018001764,1,0.19421798549488045,1,0.6772110357815775,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
20,2,1,1,58.0,0,0,4.058813890331201,1,0.2106518737370774,1,0.5587126933641571,-1,-1,1
18,1,1,1,61.0,0,0,3.807354922057604,1,0.1895813651964121,1,0.6342542180035009,-1,-1,1
13,3,1,1,60.0,0,0,3.745934613380076,1,0.12874239939301557,1,0.6734269619454434,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
5,1,1,1,112.0,0,0,3.9698157824268097,1,0.14012715836999523,-1,-0.050185296743331165,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
1,1,1,1,39.0,0,0,3.0,1,0.1422016451140654,1,0.15443958065827967,1,0,0
1,1,1,1,28.0,0,0,2.321928094887362,-1,-0.01197116887955818,-1,-0.22623151844792222,-1,-1,1
9,1,1,1,95.0,0,0,3.9698157824268097,1,0.21908091282526626,1,0.5426876991628191,-1,-1,1
10,1,1,1,111.0,0,0,4.221928094887363,1,0.15373798843757364,1,0.05568680652691693,-1,-1,1
10,2,1,1,55.5,0,0,4.142664355548848,1,0.19342946499431646,1,0.6238701362756842,-1,-1,1
23,2,1,1,59.0,0,0,3.6860830607029063,1,0.1650279718091489,1,0.4824965712573892,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
10,1,1,1,98.0,0,0,3.875,1,0.1864929728874659,1,0.48888889587366613,-1,-1,1
23,12,1,1,59.0,0,0,4.021718897065868,-1,-0.01796277800371604,1,0.2793560743778043,-1,-1,1
5,1,1,1,110.0,0,0,4.142664355548848,1,0.14947303867087353,1,0.035172525482109585,-1,-1,1
8,1,1,1,110.0,0,0,4.142664355548848,1,0.15740667080515963,1,0.08253408937283258,-1,-1,1
7,1,1,1,61.0,0,0,3.807354922057604,1,0.185571201932417,1,0.63995891886153,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
16,2,1,1,58.5,0,0,4.142664355548848,1,0.19432460381336414,1,0.6393895220590116,-1,-1,1
3,1,1,1,96.0,0,0,3.9698157824268097,1,0.2062114703554423,1,0.3990009646209529,-1,-1,1
7,1,1,1,96.0,0,0,3.9698157824268097,1,0.22127401027972765,1,0.4943806614674138,-1,-1,1
5,1,1,1,97.0,0,0,3.9698157824268097,1,0.2252860446602245,1,0.4327486764866979,-1,-1,1
46,3,1,1,61.04347826086956,0,0,3.8388896272944155,-1,-0.0017117241540752781,-1,-0.9079083174627325,-1,-1,1
20,2,1,1,34.5,0,0,3.0850551027564768,1,0.09533014847221655,-1,-8.91135707448143e-08,-1,-1,1
10,1,1,1,96.0,0,0,3.9698157824268097,1,0.22868669921565565,1,0.5325590545288579,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
8,2,1,1,34.5,0,0,3.0850551027564768,1,0.17143565535659144,1,0.143629921486097,-1,-1,1
23,1,1,1,61.0,0,0,3.807354922057604,1,0.19161682182197598,1,0.5039502154979338,-1,-1,1
8,2,1,1,34.5,0,0,3.0850551027564768,1,0.17143565535659144,1,0.143629921486097,-1,-1,1
10,1,1,1,97.0,0,0,3.9698157824268097,1,0.23412808552102232,1,0.5114034489881805,-1,-1,1
16,2,1,1,34.5,0,0,3.0850551027564768,1,0.12660552987165602,1,0.09657882371759019,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
20,2,1,1,53.0,0,0,3.9698157824268097,1,0.19738797534641023,1,0.48888875800031073,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
1,1,1,1,39.0,0,0,3.0,1,0.1422016451140654,1,0.15443958065827967,1,0,0
1,1,1,1,28.0,0,0,2.321928094887362,-1,-0.01197116887955818,-1,-0.22623151844792222,-1,-1,1
23,1,1,1,107.0,0,0,4.2626923908396215,1,0.09714885810985241,1,0.03625678734105442,-1,-1,1
23,1,1,1,93.0,0,0,4.004886164091843,1,0.12875700111636246,1,0.4275162789123934,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
3,1,1,1,95.0,0,0,3.9698157824268097,1,0.20643438723958402,1,0.41752759855117016,-1,-1,1
23,1,1,1,101.0,0,0,4.1757358691004915,1,0.11665623381293622,1,0.23991047418884026,-1,-1,1
12,1,1,1,97.0,0,0,3.9698157824268097,1,0.21935733157084325,1,0.5204647167378997,-1,-1,1
1,1,1,1,97.0,0,0,3.9698157824268097,1,0.20258226871341894,1,0.3133292265765535,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
10,2,1,1,55.5,0,0,4.142664355548848,1,0.19342946499431646,1,0.6238701362756842,-1,-1,1
23,2,1,1,59.0,0,0,3.877904386978733,1,0.21847881338422986,1,0.4822161635149653,-1,-1,1
5,1,1,1,96.0,0,0,3.9698157824268097,1,0.22009554533135633,1,0.45297618130963624,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
23,2,1,1,61.0,0,0,3.8377998261289004,1,0.2211812937736053,1,0.5040620954064474,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
12,2,1,1,34.5,0,0,3.0850551027564768,1,0.14967293315888675,1,0.1449655471610587,-1,-1,1
3,3,1,2,35.333333333333336,0,0,4.247927513443585,-1,-0.026086869420960057,1,0.09273742223724568,-1,-1,1
9,5,1,2,32.888888888888886,0,0,3.180741985218564,-1,-0.1049668621192178,1,0.06828133749462051,-1,-1,1
8,2,1,1,59.0,0,0,4.142664355548848,1,0.19217271860052937,1,0.6390439165731845,-1,-1,1
12,1,1,1,61.0,0,0,3.807354922057604,1,0.19439407693397398,1,0.6863470777257232,-1,-1,1
19,3,1,1,59.0,0,0,3.8495494876747935,1,0.17088953260938405,1,0.5903745667200475,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
4,1,1,1,95.0,0,0,3.807763576417194,1,0.14872477519260463,1,0.44631283182450776,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
23,1,1,1,60.0,0,0,3.807354922057604,1,0.19051890020013207,1,0.4934292661954043,-1,-1,1
18,3,1,1,60.0,0,0,3.900193262321551,1,0.17116157842442287,1,0.6208345060471059,-1,-1,1
23,2,1,1,61.0,0,0,3.8613103086691347,1,0.2207738275554728,1,0.5040239065449965,-1,-1,1
10,1,1,1,108.0,0,0,3.875,1,0.16096469231739952,1,0.1802000471385119,-1,-1,1
23,2,1,1,94.0,0,0,3.9777910322325827,1,0.1307859865287589,1,0.4082083679977595,-1,-1,1
23,1,1,1,61.0,0,0,3.807354922057604,1,0.19161682182197598,1,0.5039502154979338,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
23,2,1,1,91.0,0,0,4.352891230035434,1,0.11109710855622479,1,0.45973204750712426,-1,-1,1
23,1,1,1,60.0,0,0,3.807354922057604,1,0.19051890020013207,1,0.4934292661954043,-1,-1,1
16,1,1,1,98.0,0,0,3.9698157824268097,1,0.18882137190166698,1,0.47677475045355955,-1,-1,1
48,1,1,1,98.0,0,0,3.9698157824268097,-1,-0.023256200663198445,-1,-1.209960380780097,-1,-1,1
16,1,1,1,98.0,0,0,3.9698157824268097,1,0.18882137190166698,1,0.47677475045355955,-1,-1,1
10,1,1,1,98.0,0,0,3.9698157824268097,1,0.23462974656202368,1,0.4888653892863992,-1,-1,1
10,1,1,1,96.0,0,0,3.9698157824268097,1,0.22868669921565565,1,0.5325590545288579,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
3,3,1,2,38.666666666666664,0,0,3.8924071185928764,1,0.0011411494360501484,1,0.19415019942178624,-1,-1,1
10,1,1,1,98.0,0,0,3.9698157824268097,1,0.23462974656202368,1,0.4888653892863992,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
10,1,1,1,109.0,0,0,4.221928094887363,1,0.17104362584929228,1,0.14030077173020494,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
6,2,1,1,34.5,0,0,3.0850551027564768,1,0.17114342657527287,1,0.12415333831175701,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
2,1,1,1,109.0,0,0,4.221928094887363,1,0.14751318013502768,-1,-2.8692785924988584e-08,-1,-1,1
4,1,1,1,109.0,0,0,4.221928094887363,1,0.15227393137464618,1,0.0531649843780988,-1,-1,1
2,1,1,1,109.0,0,0,4.221928094887363,1,0.14751318013502768,-1,-2.8692785924988584e-08,-1,-1,1
10,1,1,1,109.0,0,0,3.9698157824268097,1,0.18497519762757564,1,0.1404345922587682,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
22,2,1,1,60.0,0,0,3.8264095640435345,1,0.2130967965810549,1,0.525878369044599,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
23,2,1,1,59.0,0,0,3.8472570201613325,1,0.21946093365345604,1,0.4822702915649453,-1,-1,1
2,1,1,1,89.0,0,0,4.321928094887363,1,0.09877126984391738,1,0.4706960208395117,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
19,2,1,1,89.0,0,0,4.363501814287849,1,0.11854030663310189,1,0.5927624780243015,-1,-1,1
11,1,1,1,89.0,0,0,4.321928094887363,1,0.11889802533552274,1,0.6519535281164597,-1,-1,1
23,2,1,1,61.0,0,0,3.825784826962234,1,0.21978080587450638,1,0.5040808031942525,-1,-1,1
9,1,1,1,62.0,0,0,3.807354922057604,1,0.18054818969244718,1,0.6755464752904015,-1,-1,1
3,1,1,1,115.0,0,0,4.20184123230257,1,0.09354814989145721,-1,-0.23444207730997313,-1,-1,1
22,14,1,1,76.0,0,0,4.2037284224630245,-1,-0.062050207875181784,1,0.3077330053886316,-1,-1,1
1,1,1,1,76.0,0,0,4.087462841250339,1,0.1371726353351851,1,0.5097476842689135,-1,-1,1
20,11,1,1,76.0,0,0,4.31430282062607,-1,-0.021970636769172103,1,0.481113570291412,-1,-1,1
3,2,1,1,76.0,0,0,4.141480243253544,1,0.13841561862535295,1,0.579338547940341,-1,-1,1
23,3,1,1,107.0,0,0,4.2143503166643566,1,0.0648650935341224,1,0.03083026383214893,-1,-1,1
23,3,1,1,95.0,0,0,4.2852070205707715,1,0.08772551669961115,1,0.38345154819964034,-1,-1,1
23,2,1,1,95.0,0,0,4.262379945248856,1,0.12973189271400176,1,0.38796169929273283,-1,-1,1
21,2,1,1,61.0,0,0,3.8758343422702564,1,0.2095472596004352,1,0.5652538202824671,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
20,2,1,1,60.5,0,0,4.3685225277282065,1,0.16733427171650134,1,0.5850979012274165,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
10,1,1,1,98.0,0,0,3.9698157824268097,1,0.23462974656202368,1,0.4888653892863992,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
10,2,1,1,55.0,0,0,4.142664355548848,1,0.19201611943038377,1,0.617927844663531,-1,-1,1
4,1,1,1,95.0,0,0,3.9698157824268097,1,0.2115406467665148,1,0.44627394631866224,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
23,2,1,1,61.0,0,0,3.825784826962234,1,0.21978080587450638,1,0.5040808031942525,-1,-1,1
2,1,1,1,97.0,0,0,3.9698157824268097,1,0.20809861473875296,1,0.34777921415281465,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
23,1,1,1,61.0,0,0,3.807354922057604,1,0.19161682182197598,1,0.5039502154979338,-1,-1,1
23,2,1,1,59.0,0,0,3.825784826962234,1,0.21923609752601597,1,0.4823061016912549,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
1,1,1,1,95.0,0,0,3.9698157824268097,1,0.19604684716806975,1,0.35080989189445067,-1,-1,1
10,1,1,1,95.0,0,0,3.9698157824268097,1,0.22367004863682255,1,0.5523701527803553,-1,-1,1
25,2,1,1,57.36,0,0,3.9127457931211067,1,0.1762318791772527,1,0.3876431071082038,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
5,1,1,1,98.0,0,0,3.9698157824268097,1,0.2254618260266542,1,0.41117731707904426,-1,-1,1
19,3,1,1,60.0,0,0,3.8962721127698843,1,0.1769071431514127,1,0.6008008406886676,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
23,1,1,1,60.0,0,0,3.807354922057604,1,0.19051890020013207,1,0.4934292661954043,-1,-1,1
1,1,1,1,39.0,0,0,2.584962500721156,1,0.16499535183536496,1,0.15398139222396257,1,0,0
1,1,1,1,39.0,0,0,2.584962500721156,1,0.16499535183536496,1,0.15398139222396257,1,0,0
1,1,1,1,39.0,0,0,2.584962500721156,1,0.16499535183536496,1,0.15398139222396257,1,0,0
1,1,1,1,39.0,0,0,2.584962500721156,1,0.16499535183536496,1,0.15398139222396257,1,0,0
1,1,1,1,39.0,0,0,2.584962500721156,1,0.16499535183536496,1,0.15398139222396257,1,0,0
1,1,1,1,39.0,0,0,2.584962500721156,1,0.16499535183536496,1,0.15398139222396257,1,0,0
1,1,1,1,39.0,0,0,2.584962500721156,1,0.16499535183536496,1,0.15398139222396257,1,0,0
1,1,1,1,39.0,0,0,2.584962500721156,1,0.16499535183536496,1,0.15398139222396257,1,0,0
1,1,1,1,39.0,0,0,2.584962500721156,1,0.16499535183536496,1,0.15398139222396257,1,0,0
1,1,1,1,39.0,0,0,2.584962500721156,1,0.16499535183536496,1,0.15398139222396257,1,0,0
1,1,1,1,39.0,0,0,2.584962500721156,1,0.16499535183536496,1,0.15398139222396257,1,0,0
1,1,1,1,39.0,0,0,2.584962500721156,1,0.16499535183536496,1,0.15398139222396257,1,0,0
1,1,1,1,39.0,0,0,2.584962500721156,1,0.16499535183536496,1,0.15398139222396257,1,0,0
1,1,1,1,39.0,0,0,2.584962500721156,1,0.16499535183536496,1,0.15398139222396257,1,0,0
1,1,1,1,39.0,0,0,2.584962500721156,1,0.16499535183536496,1,0.15398139222396257,1,0,0
1,1,1,1,39.0,0,0,2.584962500721156,1,0.16499535183536496,1,0.15398139222396257,1,0,0
6,2,1,2,56.333333333333336,0,0,4.001629167387823,-1,-0.004526105613846143,1,0.5799502934977845,-1,-1,1
19,1,1,1,60.0,0,0,3.807354922057604,1,0.1874493420491063,1,0.6045478445244132,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
23,2,1,1,62.0,0,0,3.8613103086691347,1,0.21826632911359561,1,0.5137624043624456,-1,-1,1
7,1,1,1,98.0,0,0,3.9698157824268097,1,0.22729056246605583,1,0.45178166138612497,-1,-1,1
12,1,1,1,98.0,0,0,3.9698157824268097,1,0.22190209765233054,1,0.4975938047561739,-1,-1,1
4,1,1,1,98.0,0,0,3.9698157824268097,1,0.2168761907839435,1,0.38616715188796036,-1,-1,1
2,2,1,1,34.5,0,0,3.0850551027564768,1,0.26610691318905777,1,0.04790698234516366,1,0,0
2,2,1,1,33.5,0,0,3.0850551027564768,1,0.25259352596919193,1,0.013838914955976556,1,0,0
1,1,1,1,58.0,0,0,3.807354922057604,1,0.16196937291638097,1,0.45713052268565946,-1,-1,1
3,3,1,3,21.666666666666668,0,0,3.773557262275186,-1,-0.11397655575826071,-1,-0.4970548608030301,-1,-1,1
